Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PetID,PhotoAmt,AdoptionSpeed
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,2c93c0c11,3.0,3
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,0,35593da00,5.0,1
1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,0,4cc70e613,1.0,3
1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,0,ff125cf8d,1.0,4
1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,0,c30dd6e9a,2.0,1
1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,0,be9474b85,1.0,2
1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,0,815f4cc08,3.0,3
2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,0,ec5069cf6,4.0,3
1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,0,867308404,3.0,2
2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,0,e9df3ead7,2.0,4
1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,0,258667857,4.0,2
1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,3,fd3172797,11.0,3
1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,4,8df0bb3b3,18.0,3
1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,0,3d0752cd9,5.0,3
2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,0,22051ab84,3.0,4
1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,0,573b3ec3d,0.0,4
2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,0,370fe2afb,12.0,3
2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,0,dd308e46b,1.0,4
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,0,6a763a055,2.0,3
2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,0,5e4154870,3.0,1
1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,0,a44d42407,3.0,3
1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,0,cc8401c02,3.0,3
2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,0,0f24b6cd6,1.0,1
2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,0,49bb70e36,1.0,2
1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,0,43ddb2eb4,2.0,2
1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,0,dae92dd61,3.0,4
1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,0,a6ac8884b,1.0,3
2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,0,60ce9e319,7.0,1
2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,0,5247209aa,2.0,2
2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,0,19b1f4263,3.0,0
1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,0,d50e11ec5,2.0,3
2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,0,4407e70f3,2.0,1
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,27b6e5aca,4.0,4
1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,0,80ebea85c,5.0,3
2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,0,1bf1f95ef,1.0,4
2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,0,cdab8ba8e,5.0,2
1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,0,b84dad49f,3.0,4
1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0,f0a2122d4,4.0,4
2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,0,1104fe6bb,2.0,4
1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,0,46d88ca3e,4.0,1
2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,0,b99d5d532,3.0,4
2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,0,2b6d08cba,0.0,4
2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,0,b9429dc85,4.0,1
1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,0,c61f6507e,3.0,1
1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,0,e464fcd4b,4.0,2
1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,0,86379f12f,1.0,2
2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,0,55fcdea2f,3.0,3
1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,0,392d3346e,4.0,1
2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,1,33db028cb,1.0,2
1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,0,35c0c3aca,6.0,3
1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,0,d080818c3,3.0,3
1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,0,6f0cb510a,3.0,1
1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,0,61ac3c78c,1.0,4
1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,0,368b2adc1,5.0,4
2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,0,2e4c1faf7,3.0,1
2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,0,a85a1c8c3,3.0,2
2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,0,25c7d6c3b,8.0,2
2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,0,0b819602d,2.0,4
1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,0,4c594983d,5.0,4
1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,0,05f99fc56,4.0,2
2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,0,1dfadc371,1.0,3
1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,0,6d9b202c9,10.0,3
1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,0,54791dc58,3.0,2
2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,0,b36616178,7.0,2
2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,0,2ac4dd8c2,5.0,3
2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,0,29f54c6ff,4.0,2
1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,0,48b418070,2.0,3
2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,0,c7eac7b01,5.0,2
1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,0,8e0d65b3e,1.0,1
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,9a34ddc8b,2.0,2
2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,0,ff9f62e79,3.0,3
2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,0,4a6ee5d02,2.0,2
1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,0,474bccd75,2.0,2
1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,0,e4abb93bf,2.0,3
2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,0,120805f93,2.0,3
2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,0,2acf3fdce,2.0,1
2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,1,e1ecc1b26,3.0,2
1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,0,a8cdba660,11.0,4
1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,0,9bcd62ef1,4.0,3
1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,1,c3f2f166d,1.0,4
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,0,687e9c33c,1.0,4
1,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,0,bb5f471dd,1.0,2
2,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,0,0aaf6976a,13.0,2
2,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,0,45600eaab,3.0,1
1,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,0,dcba09ff1,5.0,1
1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,d7f938acd,4.0,1
1,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,0,ea11b6f12,3.0,3
1,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,0,3332eb59c,5.0,4
2,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,0,b3e19ff68,0.0,4
1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,0,594e3dc3f,1.0,4
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,0,fbb112b7e,4.0,3
1,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,0,d14d62508,2.0,2
2,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,0,5de61cf6b,3.0,2
2,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,0,b9590d4de,1.0,0
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,0,747c82f83,9.0,2
2,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,0,3004c3401,3.0,4
1,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,0,c737c30d7,1.0,4
1,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,0,03b0568b3,5.0,3
2,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,0,987baa1c7,4.0,2
2,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,0,70b3d1f9c,1.0,2
2,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,0,27456ec0f,4.0,2
1,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,0,5c28a8cec,3.0,2
1,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,0,2c8ae4c7e,2.0,4
1,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,0,cd7bea671,3.0,3
2,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,0,7bda94ad0,10.0,4
2,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,0,ab4b4681b,4.0,4
1,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,0,aa189a931,2.0,4
2,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,0,d0bc14f47,2.0,4
1,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,0,eab8c8c03,0.0,3
1,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,0,3b4a987ba,3.0,4
1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,0,1bbb46822,1.0,3
2,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,0,5c546c236,1.0,4
1,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,0,702bee848,5.0,2
1,7,307,0,1,1,7,0,1,1,2,2,2,1,1,50,1,66757255c,1.0,4
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,0,0b0f596b5,4.0,1
1,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,0,938bcf142,2.0,4
1,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,0,bea72e6c5,24.0,4
1,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,0,52e555a3a,3.0,1
1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0,3998bcfec,1.0,2
1,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,0,e62e5aa26,9.0,2
2,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,0,933e0a3e8,4.0,4
1,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,0,1eb8a0278,3.0,1
2,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,0,d5df16a32,5.0,2
2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,0,06296e4e2,6.0,4
1,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,0,207d61997,8.0,1
2,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,0,38a81271c,5.0,4
1,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,0,65d10be4d,3.0,3
1,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,0,c7b468b32,1.0,4
2,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,0,6df350974,9.0,2
1,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,0,249112486,1.0,4
2,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,0,8f85e69ee,8.0,3
1,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,0,b243b8e93,5.0,1
1,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,0,89523a695,2.0,3
2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,0,4f0eacbdd,8.0,1
1,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,0,b5fcc079e,5.0,3
2,2,266,0,2,1,4,7,2,1,2,2,2,1,6,30,0,53976b229,6.0,4
2,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,0,f4ed1a08e,2.0,4
2,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,0,2f3227612,5.0,1
2,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,0,ba66a7a82,1.0,1
1,2,307,141,3,5,7,0,3,1,1,1,2,1,3,0,1,d4e83ee5b,8.0,3
2,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,0,00a1f270a,5.0,4
1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,0,74e316be1,2.0,2
1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,0,039509c40,4.0,1
1,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,0,eeb60466e,5.0,1
2,3,265,0,1,4,7,0,2,2,2,2,2,1,1,50,0,c6cdbebfa,3.0,1
1,19,307,0,2,1,0,0,2,1,1,1,1,1,1,80,0,82137b39f,3.0,4
2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,0,28b64c198,5.0,4
1,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,0,f70251906,5.0,4
2,4,288,285,2,1,7,0,1,3,2,2,3,1,1,250,0,9d76ed82f,3.0,2
1,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,0,e83f846eb,6.0,1
1,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,0,60b9421cc,1.0,3
2,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,0,72a7cb335,7.0,2
1,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,0,0bd4aed6b,0.0,4
1,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,0,ae03f99f2,5.0,3
2,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,0,5a1010bca,2.0,2
1,4,307,0,2,1,2,0,2,2,2,1,2,1,1,1,0,6a5c652b5,1.0,4
2,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,0,040771e8e,0.0,4
1,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,706a9cd5c,1.0,3
1,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,0,62550cf78,3.0,1
1,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,0,701c5afba,1.0,1
2,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,0,d0fcfeb0f,5.0,1
1,22,205,0,2,5,7,0,2,1,1,1,2,1,1,0,0,7bce76c66,3.0,1
1,60,179,179,2,2,0,0,1,3,1,1,1,1,1,0,0,3b0b88ac2,3.0,1
1,1,218,205,3,1,5,7,2,2,2,2,2,1,4,0,0,a88d34ee3,2.0,1
1,3,31,307,1,1,0,0,2,1,3,3,2,1,1,0,0,061378b30,2.0,2
2,3,266,265,2,1,4,7,2,1,2,1,2,1,4,0,0,fc1457818,5.0,2
2,4,265,0,2,5,0,0,2,2,3,3,3,1,1,0,1,a27f0cc49,4.0,2
2,13,285,265,2,1,6,0,2,2,1,1,2,1,1,0,0,728c78b39,3.0,1
2,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,0,6c054c4ef,1.0,3
1,5,141,0,2,1,0,0,2,2,1,1,2,1,1,0,0,d5b9e0322,8.0,1
1,2,307,0,2,1,7,0,2,2,2,1,2,1,1,0,0,a2dc697f6,12.0,3
2,1,266,0,3,1,7,0,2,2,2,2,2,1,3,0,0,b04b200fa,4.0,1
1,2,128,307,2,2,7,0,2,1,1,1,2,1,1,0,1,be7b65c23,9.0,2
1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,e37f4aa07,1.0,3
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,1,7de2f688b,4.0,4
1,2,307,307,2,1,2,0,2,2,2,1,2,1,1,0,0,e7020fa9a,4.0,2
2,2,266,0,2,1,7,0,2,1,2,1,2,1,1,0,0,752491221,3.0,1
2,8,299,0,1,3,0,0,2,1,1,1,1,1,1,0,0,c2346525a,2.0,2
2,2,265,0,2,1,6,7,2,2,1,1,2,1,1,0,0,bc7361016,4.0,3
2,9,299,0,2,2,5,6,1,1,1,1,1,1,1,0,0,66201cf73,3.0,2
2,6,266,299,2,6,0,0,2,1,3,3,3,1,1,0,0,b7359384d,4.0,2
1,2,307,0,2,1,2,0,2,1,2,2,2,1,3,0,0,be23e42d0,3.0,2
1,18,20,307,2,2,7,0,2,1,1,1,1,1,1,0,0,1c59cecac,10.0,0
1,14,307,0,1,2,0,0,3,2,1,1,1,1,1,0,0,e7e1904f4,3.0,0
2,3,266,0,1,1,7,0,1,1,2,2,2,1,2,0,0,2e3bfe5a9,9.0,3
2,2,266,0,1,7,0,0,2,1,2,1,2,1,1,0,0,13f07ee9a,2.0,1
1,1,307,307,3,1,2,7,3,1,2,1,2,1,20,50,0,d78d1dec0,5.0,4
2,12,247,0,1,1,6,7,2,2,1,1,1,1,1,0,0,821bd9373,1.0,4
2,12,266,300,2,1,2,0,2,1,2,3,1,1,1,0,0,720db9cb3,1.0,4
1,1,70,307,2,1,5,0,2,1,2,2,2,1,1,0,0,0443d6f82,5.0,1
2,9,266,0,1,1,6,7,2,1,1,1,1,1,2,0,0,67efce2e0,0.0,4
1,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,0,fa1a30192,2.0,3
2,2,265,265,3,6,7,0,1,2,2,2,2,1,4,0,0,c675f3b10,7.0,2
2,2,266,0,2,2,4,5,2,1,2,2,2,1,3,0,0,6e3d78857,4.0,1
1,3,307,0,2,2,0,0,2,1,3,3,3,1,1,0,0,d4d6997e3,2.0,1
1,3,307,119,1,5,7,0,2,2,2,2,2,1,1,0,0,d13d93f69,4.0,1
2,6,266,0,2,4,0,0,1,1,1,1,1,1,1,200,0,d8715d47e,6.0,4
2,3,292,0,1,1,7,0,1,1,2,2,2,1,1,0,0,c15b3c9f1,1.0,2
1,24,307,307,3,1,2,0,2,1,2,2,1,1,2,0,0,3bef75882,2.0,2
1,3,307,307,1,2,0,0,3,1,2,2,3,1,1,0,0,60bf93971,3.0,2
1,24,307,307,2,2,0,0,2,1,1,1,1,2,1,20,0,e9eeadf82,2.0,4
1,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,0,a4530b1d0,1.0,1
1,2,307,103,2,1,2,0,2,2,2,1,2,1,1,250,0,da6bb3100,13.0,3
1,2,307,0,1,3,0,0,2,2,1,1,2,1,1,0,0,79669f807,1.0,2
1,7,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,3af2b1473,1.0,3
2,3,264,0,1,1,3,0,1,3,2,2,2,1,1,150,0,0f0f81a37,3.0,1
1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0,b8976d821,2.0,3
1,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,0,9eb98f34c,9.0,2
1,55,20,0,1,1,4,7,2,1,1,1,1,1,1,0,0,e317b2a73,5.0,2
1,2,200,307,2,1,2,0,2,1,1,1,2,1,1,0,0,ebd78e1d4,3.0,2
1,3,307,0,2,1,2,0,2,2,1,1,1,1,1,0,0,0822c54d5,3.0,3
1,36,213,0,2,3,5,0,2,2,3,3,1,1,1,0,0,4036e0e12,9.0,3
2,1,265,0,2,1,4,7,2,3,2,1,2,1,1,0,2,f34d62be0,10.0,2
2,6,292,0,2,2,5,0,2,2,2,2,2,1,1,0,0,2a7b5edbf,3.0,4
2,6,265,266,2,2,5,0,2,2,2,2,2,1,1,0,0,18042e473,3.0,1
